id,spanish,english ,other_common_meanings,common_definitions
551,pedir prestado,to borrow,transitive verb phrase,General meaning: to borrow | Other senses: transitive verb phrase | Usage note: 'pedir prestado' commonly refers to to borrow in everyday conversation.
552,el malentendido,misunderstanding,,General meaning: misunderstanding | Usage note: 'el malentendido' commonly refers to misunderstanding in everyday conversation.
553,empatar,to tie,,General meaning: to tie | Usage note: 'empatar' commonly refers to to tie in everyday conversation.
554,presumido,conceited,,General meaning: conceited | Usage note: 'presumido' commonly refers to conceited in everyday conversation.
555,la inundación,flood,,General meaning: flood | Usage note: 'la inundación' commonly refers to flood in everyday conversation.
556,la sabiduría,wisdom,,General meaning: wisdom | Usage note: 'la sabiduría' commonly refers to wisdom in everyday conversation.
557,el calentamiento global,global warming,,General meaning: global warming | Usage note: 'el calentamiento global' commonly refers to global warming in everyday conversation.
558,adelgazar,to lose weight,,General meaning: to lose weight | Usage note: 'adelgazar' commonly refers to to lose weight in everyday conversation.
559,aplaudir,to applaud,,General meaning: to applaud | Usage note: 'aplaudir' commonly refers to to applaud in everyday conversation.
560,el aficionado,fan,,General meaning: fan | Usage note: 'el aficionado' commonly refers to fan in everyday conversation.
561,la sequía,drought,,General meaning: drought | Usage note: 'la sequía' commonly refers to drought in everyday conversation.
562,el título,title,,General meaning: title | Usage note: 'el título' commonly refers to title in everyday conversation.
563,el océano,ocean,,General meaning: ocean | Usage note: 'el océano' commonly refers to ocean in everyday conversation.
564,adolescencia,adolescence,,General meaning: adolescence | Usage note: 'adolescencia' commonly refers to adolescence in everyday conversation.
565,grave,serious,,General meaning: serious | Usage note: 'grave' commonly refers to serious in everyday conversation.
